,Date,Région,Total énergie soutirée (Wh)
402,2022-10-19,Centre-Val de Loire,14772.445974
403,2022-10-19,Hauts-de-France,30656.048804
404,2022-10-20,Centre-Val de Loire,14649.675124
405,2022-10-20,Hauts-de-France,30375.627096
406,2022-10-21,Centre-Val de Loire,14823.266059
407,2022-10-21,Hauts-de-France,30661.742143
408,2022-10-22,Centre-Val de Loire,15002.225316
409,2022-10-22,Hauts-de-France,30966.498234
410,2022-10-23,Centre-Val de Loire,14960.082721
411,2022-10-23,Hauts-de-France,30854.631985
412,2022-10-24,Centre-Val de Loire,14972.899811
413,2022-10-24,Hauts-de-France,30809.244903
414,2022-10-25,Centre-Val de Loire,15186.210841
415,2022-10-25,Hauts-de-France,31158.746457
416,2022-10-26,Centre-Val de Loire,14942.669084
417,2022-10-26,Hauts-de-France,30660.646871
418,2022-10-27,Centre-Val de Loire,14959.434127
419,2022-10-27,Hauts-de-France,30595.869807
420,2022-10-28,Centre-Val de Loire,14874.995681
421,2022-10-28,Hauts-de-France,30407.528917
422,2022-10-29,Centre-Val de Loire,14806.816607
423,2022-10-29,Hauts-de-France,30234.462025
424,2022-10-30,Centre-Val de Loire,15487.482898
425,2022-10-30,Hauts-de-France,31569.298984
426,2022-10-31,Centre-Val de Loire,15377.129286
427,2022-10-31,Hauts-de-France,31302.940675
428,2022-11-01,Centre-Val de Loire,15751.066727
429,2022-11-01,Hauts-de-France,31964.902843
430,2022-11-02,Centre-Val de Loire,16449.719011
431,2022-11-02,Hauts-de-France,33260.220734
432,2022-11-03,Centre-Val de Loire,17605.403808
433,2022-11-03,Hauts-de-France,35331.043236
434,2022-11-04,Centre-Val de Loire,19157.733089
435,2022-11-04,Hauts-de-France,38075.693861
436,2022-11-05,Centre-Val de Loire,20664.054053
437,2022-11-05,Hauts-de-France,40757.265128
438,2022-11-06,Centre-Val de Loire,21012.221684
439,2022-11-06,Hauts-de-France,41335.249953
440,2022-11-07,Centre-Val de Loire,19671.275665
441,2022-11-07,Hauts-de-France,38776.19771
442,2022-11-08,Centre-Val de Loire,19270.078917
443,2022-11-08,Hauts-de-France,38016.525151
444,2022-11-09,Centre-Val de Loire,19267.798174
445,2022-11-09,Hauts-de-France,37963.683475
446,2022-11-10,Centre-Val de Loire,20228.226393
447,2022-11-10,Hauts-de-France,39512.809409
448,2022-11-11,Centre-Val de Loire,20548.135983
449,2022-11-11,Hauts-de-France,40018.64174
450,2022-11-12,Centre-Val de Loire,20575.552165
451,2022-11-12,Hauts-de-France,39975.521022
452,2022-11-13,Centre-Val de Loire,20904.676103
453,2022-11-13,Hauts-de-France,40538.975445
454,2022-11-14,Centre-Val de Loire,21353.976524
455,2022-11-14,Hauts-de-France,41364.21036
456,2022-11-15,Centre-Val de Loire,21240.812399
457,2022-11-15,Hauts-de-France,40989.847364
458,2022-11-16,Centre-Val de Loire,21537.53958
459,2022-11-16,Hauts-de-France,41418.959972
460,2022-11-17,Centre-Val de Loire,21159.503841
461,2022-11-17,Hauts-de-France,40593.975339
462,2022-11-18,Centre-Val de Loire,22572.922921
463,2022-11-18,Hauts-de-France,42924.937866
464,2022-11-19,Centre-Val de Loire,24737.57776
465,2022-11-19,Hauts-de-France,46536.410768
466,2022-11-20,Centre-Val de Loire,25689.806225
